"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33859","Verify User Details Flow Execution in Salesforce","chromium","Fri Oct 17 10:44:23 UTC 2025","passed","Fri Oct 17 10:44:57 UTC 2025","Salesforce User Details Flow","","",""
"","26514","should add a new opportunity with required fields","chromium","Fri Oct 17 10:42:34 UTC 2025","passed","Fri Oct 17 10:43:00 UTC 2025","Salesforce - Add Opportunity","","",""
"","23055","should handle cancel operation correctly","chromium","Fri Oct 17 10:43:25 UTC 2025","passed","Fri Oct 17 10:43:48 UTC 2025","Salesforce - Add Opportunity","","",""
"","24358","should create opportunity with all optional fields","chromium","Fri Oct 17 10:43:01 UTC 2025","passed","Fri Oct 17 10:43:25 UTC 2025","Salesforce - Add Opportunity","","",""
"","34421","[API LOGIN] should verify User Details flow execution with API authentication","chromium","Fri Oct 17 10:43:48 UTC 2025","passed","Fri Oct 17 10:44:23 UTC 2025","Salesforce User Details Flow","","",""
