"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9942","should handle cancel operation correctly","Salesforce Tests","Fri Oct 24 09:09:36 UTC 2025","passed","Fri Oct 24 09:09:46 UTC 2025","Salesforce - Add Opportunity","","",""
"","13084","should add a new opportunity with required fields","Salesforce Tests","Fri Oct 24 09:09:07 UTC 2025","passed","Fri Oct 24 09:09:20 UTC 2025","Salesforce - Add Opportunity","","",""
"","13582","should create opportunity with all optional fields","Salesforce Tests","Fri Oct 24 09:09:22 UTC 2025","passed","Fri Oct 24 09:09:36 UTC 2025","Salesforce - Add Opportunity","","",""
