"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11415","should handle cancel operation correctly","Salesforce Tests","Fri Oct 24 09:30:53 UTC 2025","passed","Fri Oct 24 09:31:04 UTC 2025","Salesforce - Add Opportunity","","",""
"","21042","Verify User Details Flow Execution in Salesforce","Salesforce Tests","Fri Oct 24 09:31:26 UTC 2025","passed","Fri Oct 24 09:31:47 UTC 2025","Salesforce User Details Flow","","",""
"","21151","[API LOGIN] should verify User Details flow execution with API authentication","Salesforce Tests","Fri Oct 24 09:31:04 UTC 2025","passed","Fri Oct 24 09:31:26 UTC 2025","Salesforce User Details Flow","","",""
"","14016","should add a new opportunity with required fields","Salesforce Tests","Fri Oct 24 09:30:26 UTC 2025","passed","Fri Oct 24 09:30:40 UTC 2025","Salesforce - Add Opportunity","","",""
"","11948","should create opportunity with all optional fields","Salesforce Tests","Fri Oct 24 09:30:41 UTC 2025","passed","Fri Oct 24 09:30:53 UTC 2025","Salesforce - Add Opportunity","","",""
