"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19857","Should verify User Details flow execution with API authentication","Salesforce Tests","Fri Oct 24 09:59:48 UTC 2025","passed","Fri Oct 24 10:00:08 UTC 2025","Salesforce User Details Flow","","",""
"","9197","Should handle cancel operation correctly","Salesforce Tests","Fri Oct 24 09:59:39 UTC 2025","passed","Fri Oct 24 09:59:48 UTC 2025","Salesforce - Add Opportunity","","",""
"","13178","Should add a new opportunity with required fields","Salesforce Tests","Fri Oct 24 09:59:12 UTC 2025","passed","Fri Oct 24 09:59:25 UTC 2025","Salesforce - Add Opportunity","","",""
"","11925","Should create opportunity with all optional fields","Salesforce Tests","Fri Oct 24 09:59:27 UTC 2025","passed","Fri Oct 24 09:59:39 UTC 2025","Salesforce - Add Opportunity","","",""
"","19325","Verify User Details Flow Execution in Salesforce","Salesforce Tests","Fri Oct 24 10:00:08 UTC 2025","passed","Fri Oct 24 10:00:27 UTC 2025","Salesforce User Details Flow","","",""
