"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19496","Should verify User Details flow execution with API authentication","Salesforce Tests","Fri Oct 24 10:07:38 UTC 2025","passed","Fri Oct 24 10:07:58 UTC 2025","Salesforce User Details Flow","","",""
"","12645","Should create opportunity with all optional fields","Salesforce Tests","Fri Oct 24 10:07:16 UTC 2025","passed","Fri Oct 24 10:07:29 UTC 2025","Salesforce - Add Opportunity","","",""
"","19911","Verify User Details Flow Execution in Salesforce","Salesforce Tests","Fri Oct 24 10:07:58 UTC 2025","passed","Fri Oct 24 10:08:18 UTC 2025","Salesforce User Details Flow","","",""
"","9417","Should handle cancel operation correctly","Salesforce Tests","Fri Oct 24 10:07:29 UTC 2025","passed","Fri Oct 24 10:07:38 UTC 2025","Salesforce - Add Opportunity","","",""
"","13530","Should add a new opportunity with required fields","Salesforce Tests","Fri Oct 24 10:07:01 UTC 2025","passed","Fri Oct 24 10:07:15 UTC 2025","Salesforce - Add Opportunity","","",""
