"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22032","should handle cancel operation correctly","chromium","Fri Oct 17 09:30:40 UTC 2025","passed","Fri Oct 17 09:31:02 UTC 2025","Salesforce - Add Opportunity","","",""
"","32971","[API LOGIN] should verify User Details flow execution with API authentication","chromium","Fri Oct 17 09:31:02 UTC 2025","passed","Fri Oct 17 09:31:35 UTC 2025","Salesforce User Details Flow","","",""
"","33048","Verify User Details Flow Execution in Salesforce","chromium","Fri Oct 17 09:31:35 UTC 2025","passed","Fri Oct 17 09:32:08 UTC 2025","Salesforce User Details Flow","","",""
"","24285","should add a new opportunity with required fields","chromium","Fri Oct 17 09:29:44 UTC 2025","passed","Fri Oct 17 09:30:08 UTC 2025","Salesforce - Add Opportunity","","",""
"","30841","should create opportunity with all optional fields","chromium","Fri Oct 17 09:30:09 UTC 2025","passed","Fri Oct 17 09:30:40 UTC 2025","Salesforce - Add Opportunity","","",""
