"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9365","should handle cancel operation correctly","Salesforce Tests","Fri Oct 24 09:26:00 UTC 2025","passed","Fri Oct 24 09:26:09 UTC 2025","Salesforce - Add Opportunity","","",""
"","20277","Verify User Details Flow Execution in Salesforce","Salesforce Tests","Fri Oct 24 09:26:29 UTC 2025","passed","Fri Oct 24 09:26:49 UTC 2025","Salesforce User Details Flow","","",""
"","19939","[API LOGIN] should verify User Details flow execution with API authentication","Salesforce Tests","Fri Oct 24 09:26:09 UTC 2025","passed","Fri Oct 24 09:26:29 UTC 2025","Salesforce User Details Flow","","",""
"","12321","should create opportunity with all optional fields","Salesforce Tests","Fri Oct 24 09:25:47 UTC 2025","passed","Fri Oct 24 09:26:00 UTC 2025","Salesforce - Add Opportunity","","",""
"","13702","should add a new opportunity with required fields","Salesforce Tests","Fri Oct 24 09:25:33 UTC 2025","passed","Fri Oct 24 09:25:47 UTC 2025","Salesforce - Add Opportunity","","",""
