"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14117","should add a new opportunity with required fields","Salesforce Tests","Fri Oct 24 09:38:35 UTC 2025","passed","Fri Oct 24 09:38:49 UTC 2025","Salesforce - Add Opportunity","","",""
"","13049","should create opportunity with all optional fields","Salesforce Tests","Fri Oct 24 09:38:51 UTC 2025","passed","Fri Oct 24 09:39:04 UTC 2025","Salesforce - Add Opportunity","","",""
"","20544","[API LOGIN] should verify User Details flow execution with API authentication","Salesforce Tests","Fri Oct 24 09:39:14 UTC 2025","passed","Fri Oct 24 09:39:34 UTC 2025","Salesforce User Details Flow","","",""
"","19576","Verify User Details Flow Execution in Salesforce","Salesforce Tests","Fri Oct 24 09:39:34 UTC 2025","passed","Fri Oct 24 09:39:54 UTC 2025","Salesforce User Details Flow","","",""
"","9573","should handle cancel operation correctly","Salesforce Tests","Fri Oct 24 09:39:04 UTC 2025","passed","Fri Oct 24 09:39:14 UTC 2025","Salesforce - Add Opportunity","","",""
