"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14374","Should add a new opportunity with required fields","Salesforce Tests","Fri Oct 24 10:24:04 UTC 2025","passed","Fri Oct 24 10:24:18 UTC 2025","Salesforce - Add Opportunity","","",""
"","19907","Should verify User Details flow execution with API authentication","Salesforce Tests","Fri Oct 24 10:24:42 UTC 2025","passed","Fri Oct 24 10:25:02 UTC 2025","Salesforce User Details Flow","","",""
"","19782","Verify User Details Flow Execution in Salesforce","Salesforce Tests","Fri Oct 24 10:25:02 UTC 2025","passed","Fri Oct 24 10:25:22 UTC 2025","Salesforce User Details Flow","","",""
"","9605","Should handle cancel operation correctly","Salesforce Tests","Fri Oct 24 10:24:33 UTC 2025","passed","Fri Oct 24 10:24:42 UTC 2025","Salesforce - Add Opportunity","","",""
"","13083","Should create opportunity with all optional fields","Salesforce Tests","Fri Oct 24 10:24:20 UTC 2025","passed","Fri Oct 24 10:24:33 UTC 2025","Salesforce - Add Opportunity","","",""
